# USGS Open-File Report 93-0280, complete 83-row Placer Pt-Au table (PDF pp. 60-61).
# Population rule: all published rows with positive tonnage; rows are ordered by ascending tonnage, then page/name; percentile=rank/83; every fifth rank is HELD_OUT. Zero reported grades remain explicit values.
# Columns: source_row_ref|deposit_name|country_code|district|role|tonnage_percentile|tonnage_mt|pt_ppb|au_gpt|os_ppb|ir_ppb|pd_ppb
p61:Novoi-Log|Novoi-Log|URRS||CALIBRATION|0.5783132530120482|0.177|463|0.0787|0|0|0
p60:Bolshaya-Kamenouchka|Bolshaya Kamenouchka|URRS|Carlin-Lynn|CALIBRATION|0.5903614457831325|0.197|2060|0.031|100|37|3.7
p61:Suftlii-Bor-Log-2|Suftlii Bor Log 2|URRS||HELD_OUT|0.6024096385542169|0.201|2470|0|84|0|0
p60:Kossoi-Log|Kossoi-Log|URRS||CALIBRATION|0.6144578313253012|0.202|1599|0|0|0|0
p61:Solovyevskii-Log|Solovyevskii Log|URRS||CALIBRATION|0.6265060240963856|0.205|1710|0|25.7|0|0
p61:Sirkov-Log|Sirkov Log|URRS||CALIBRATION|0.6385542168674698|0.213|1730|0|0|26|3.6
p61:Tschachewitaia|Tschachewitaia|URRS||CALIBRATION|0.6506024096385542|0.266|400|0|0|0|0
p61:Tsauch-R|Tsauch R.|URRS||HELD_OUT|0.6626506024096386|0.269|343|0|2|3.4|1.4
p60:Korobowsky-Lojok|Korobowsky Lojok|URRS|Jerritt Canyon|CALIBRATION|0.6746987951807228|0.27|13370|0|0|0|0
p60:Kossia-R|Kossia R.|URRS|Battle Mountain|CALIBRATION|0.6867469879518072|0.299|2100|0|0|0|0
p61:Roublewik-R|Roublewik R.|URRS||CALIBRATION|0.6987951807228916|0.327|2290|0|0|0|0
p61:Malaia-Prostokischenka|Malaia Prostokischenka|URRS||CALIBRATION|0.7108433734939759|0.34|12340|0|247|123|37
p61:Malot-Pokap|Malot Pokap|URRS||HELD_OUT|0.7228915662650602|0.34|3130|0.031|75|0|0
p60:Ivov-R|Ivov R.|URRS|White Pine|CALIBRATION|0.7349397590361446|0.446|2740|0|550|160|5.2
p61:Stepanoff-Log|Stepanoff-Log|URRS||CALIBRATION|0.7469879518072289|0.494|4940|0|0|0|0
p61:Popowsky-Lojok|Popowsky-Lojok|URRS||CALIBRATION|0.7590361445783133|0.561|1850|0|0|0|0
p60:Jourawlik-R|Jourawlik R.|URRS||CALIBRATION|0.7710843373493976|0.575|3750|0.038|0|0|0
